quantile,coverage,accuracy
0.000000000000000000e+00,9.999999747378751636e-05,1.000000000000000000e+00
5.000000074505805969e-02,5.000000074505805969e-02,8.320000171661376953e-01
1.000000014901161194e-01,1.000000014901161194e-01,8.320000171661376953e-01
1.500000059604644775e-01,1.500000059604644775e-01,8.313333392143249512e-01
2.000000029802322388e-01,2.000000029802322388e-01,8.289999961853027344e-01
2.500000000000000000e-01,2.500000000000000000e-01,8.235999941825866699e-01
3.000000119209289551e-01,3.000000119209289551e-01,8.086666464805603027e-01
3.499999940395355225e-01,3.499999940395355225e-01,7.977142930030822754e-01
4.000000059604644775e-01,4.000000059604644775e-01,7.917500138282775879e-01
4.499999880790710449e-01,4.499999880790710449e-01,7.860000133514404297e-01
5.000000000000000000e-01,5.000000000000000000e-01,7.771999835968017578e-01
5.500000119209289551e-01,5.500000119209289551e-01,7.714545726776123047e-01
6.000000238418579102e-01,6.000000238418579102e-01,7.646666765213012695e-01
6.499999761581420898e-01,6.499999761581420898e-01,7.561538219451904297e-01
6.999999880790710449e-01,6.999999880790710449e-01,7.517142891883850098e-01
7.500000000000000000e-01,7.500000000000000000e-01,7.458666563034057617e-01
8.000000119209289551e-01,8.000000119209289551e-01,7.402499914169311523e-01
8.500000238418579102e-01,8.500000238418579102e-01,7.351764440536499023e-01
8.999999761581420898e-01,8.999999761581420898e-01,7.288888692855834961e-01
9.499999880790710449e-01,9.499999880790710449e-01,7.206315994262695312e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.080000042915344238e-01
