quantile,coverage,accuracy
0.000000000000000000e+00,5.000000237487256527e-04,1.000000000000000000e+00
5.000000074505805969e-02,5.000000074505805969e-02,9.399999976158142090e-01
1.000000014901161194e-01,1.000000014901161194e-01,9.350000023841857910e-01
1.500000059604644775e-01,1.500000059604644775e-01,9.266666769981384277e-01
2.000000029802322388e-01,2.000000029802322388e-01,9.175000190734863281e-01
2.500000000000000000e-01,2.500000000000000000e-01,9.179999828338623047e-01
3.000000119209289551e-01,3.000000119209289551e-01,9.200000166893005371e-01
3.499999940395355225e-01,3.499999940395355225e-01,9.142857193946838379e-01
4.000000059604644775e-01,4.000000059604644775e-01,9.150000214576721191e-01
4.499999880790710449e-01,4.499999880790710449e-01,9.144444465637207031e-01
5.000000000000000000e-01,5.000000000000000000e-01,9.179999828338623047e-01
5.500000119209289551e-01,5.500000119209289551e-01,9.163636565208435059e-01
6.000000238418579102e-01,6.000000238418579102e-01,9.183333516120910645e-01
6.499999761581420898e-01,6.499999761581420898e-01,9.192307591438293457e-01
6.999999880790710449e-01,6.999999880790710449e-01,9.207142591476440430e-01
7.500000000000000000e-01,7.500000000000000000e-01,9.213333129882812500e-01
8.000000119209289551e-01,8.000000119209289551e-01,9.150000214576721191e-01
8.500000238418579102e-01,8.500000238418579102e-01,9.141176342964172363e-01
8.999999761581420898e-01,8.999999761581420898e-01,9.138888716697692871e-01
9.499999880790710449e-01,9.499999880790710449e-01,9.115789532661437988e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.120000004768371582e-01
