quantile,coverage,accuracy
0.000000000000000000e+00,1.999999949475750327e-04,1.000000000000000000e+00
5.000000074505805969e-02,5.000000074505805969e-02,8.140000104904174805e-01
1.000000014901161194e-01,1.000000014901161194e-01,8.230000138282775879e-01
1.500000059604644775e-01,1.500000059604644775e-01,8.199999928474426270e-01
2.000000029802322388e-01,2.000000029802322388e-01,8.174999952316284180e-01
2.500000000000000000e-01,2.500000000000000000e-01,8.208000063896179199e-01
3.000000119209289551e-01,3.000000119209289551e-01,8.176666498184204102e-01
3.499999940395355225e-01,3.499999940395355225e-01,8.131428360939025879e-01
4.000000059604644775e-01,4.000000059604644775e-01,8.082500100135803223e-01
4.499999880790710449e-01,4.499999880790710449e-01,8.024444580078125000e-01
5.000000000000000000e-01,5.000000000000000000e-01,7.978000044822692871e-01
5.500000119209289551e-01,5.500000119209289551e-01,7.918182015419006348e-01
6.000000238418579102e-01,6.000000238418579102e-01,7.875000238418579102e-01
6.499999761581420898e-01,6.499999761581420898e-01,7.835384607315063477e-01
6.999999880790710449e-01,6.999999880790710449e-01,7.787142992019653320e-01
7.500000000000000000e-01,7.500000000000000000e-01,7.749333381652832031e-01
8.000000119209289551e-01,8.000000119209289551e-01,7.721250057220458984e-01
8.500000238418579102e-01,8.500000238418579102e-01,7.677646875381469727e-01
8.999999761581420898e-01,8.999999761581420898e-01,7.604444622993469238e-01
9.499999880790710449e-01,9.499999880790710449e-01,7.537894845008850098e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.397999763488769531e-01
